"Name","Team","GP","Top 24","WR1","WR2","WR3","WR4+"
"Justin Watson","KC","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Cedrick Wilson Jr.","MIA","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Braxton Berrios","NYJ","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Keith Kirkwood","NO","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Byron Pringle","CHI","11","0.0%","0.0%","0.0%","9.1%","90.9%"
"Equanimeous St. Brown","CHI","16","0.0%","0.0%","0.0%","6.3%","93.8%"
"Brandon Powell","LAR","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Cam Sims","WAS","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"KhaDarel Hodge","ATL","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"N'Keal Harry","CHI","7","0.0%","0.0%","0.0%","14.3%","100.0%"
"Penny Hart","SEA","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Lil'Jordan Humphrey","NE","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Andy Isabella","ARI","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tyron Johnson","LV","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Stanley Morgan","CIN","14","0.0%","0.0%","0.0%","0.0%","100.0%"
"David Sills V","NYG","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Miles Boykin","PIT","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jeff Smith","NYJ","11","0.0%","0.0%","0.0%","9.1%","100.0%"
"Deonte Harty","NO","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jason Moore Jr.","LAC","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ashton Dulin","IND","12","0.0%","0.0%","0.0%","8.3%","91.7%"
"Steven Sims","PIT","12","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tom Kennedy","DET","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Gunner Olszewski","PIT","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jalen Reagor","MIN","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"James Proche II","BAL","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Quintez Cephus","DET","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Bryan Edwards","ATL","7","0.0%","0.0%","0.0%","0.0%","100.0%"
